,City Name,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Punta Arenas,40,CL,1547413200,54,-53.16,-70.91,55.4,26.4
1,Barrow,88,AR,1547414815,92,-38.31,-60.23,69.72,11.68
2,Puerto Ayora,75,EC,1547413200,78,-0.74,-90.35,78.8,16.11
3,Margate,0,AU,1547413200,59,-43.03,147.26,64.4,3.36
4,Port Alfred,24,ZA,1547414818,89,-33.59,26.89,68.64,7.31
5,Druzhinino,80,RU,1547414819,74,56.79,59.52,20.62,9.33
6,Iqaluit,90,CA,1547413200,76,63.75,-68.52,-11.21,3.36
7,Kaitangata,56,NZ,1547414647,84,-46.28,169.85,55.54,14.7
8,Hermanus,12,ZA,1547414823,95,-34.42,19.24,57.3,3.29
9,East London,0,ZA,1547415078,100,-33.02,27.91,72.15,9.22
10,New Norfolk,0,AU,1547413200,59,-42.78,147.06,64.4,3.36
11,Mawlaik,0,MM,1547415080,92,23.63,94.42,55.59,3.4
12,Castro,0,CL,1547413200,52,-42.48,-73.76,64.4,8.05
13,San Julian,0,SV,1547412600,39,13.7,-89.56,87.8,13.87
14,Carnarvon,0,ZA,1547414890,38,-30.97,22.13,64.5,8.77
15,Tuktoyaktuk,40,CA,1547413200,74,69.44,-133.03,-25.61,14.99
16,Aklavik,40,CA,1547413200,67,68.22,-135.01,-22.01,10.29
17,Bonavista,44,CA,1547415088,100,48.65,-53.11,26.2,23.42
18,Lakes Entrance,0,AU,1547414862,82,-37.88,147.99,72.1,7.65
19,Provideniya,0,RU,1547413200,64,64.42,-173.23,-0.41,26.84
20,Namatanai,20,PG,1547414910,100,-3.66,152.44,79.48,11.79
21,Tyumentsevo,0,RU,1547415092,71,53.32,81.5,1.59,10.22
22,Jamestown,0,AU,1547415094,79,-33.21,138.6,62.02,2.95
23,Vaini,0,IN,1547415097,79,15.34,74.49,58.78,2.62
24,Saldanha,0,PT,1547415098,84,41.42,-6.55,26.11,2.73
25,Mataura,92,NZ,1547414860,88,-46.19,168.86,55.27,10.22
26,Hirara,8,JP,1547415100,100,24.8,125.28,69.13,16.04
27,Busselton,0,AU,1547415101,100,-33.64,115.35,59.55,18.05
28,Ushuaia,75,AR,1547413200,57,-54.81,-68.31,57.2,23.04
29,Yellowknife,40,CA,1547413200,67,62.45,-114.38,-23.81,3.51
30,Mar del Plata,0,AR,1547415105,24,-46.43,-67.52,79.62,5.97
31,Solnechnyy,20,RU,1547415106,59,50.72,136.64,-20.56,2.39
32,Vostok,8,RU,1547415109,53,46.45,135.83,-11.47,2.06
33,Lebu,0,ET,1547409600,28,8.96,38.73,55.4,4.18
34,Cherskiy,20,RU,1547415111,48,68.75,161.3,-29.24,2.62
35,Butaritari,68,KI,1547415113,100,3.07,172.79,82.36,15.82
36,Souillac,90,FR,1547413200,93,45.6,-0.6,50.0,9.17
37,Kapaa,75,US,1547412960,62,22.08,-159.32,78.98,11.41
38,Rikitea,76,PF,1547415116,99,-23.12,-134.97,79.62,11.56
39,Severomorsk,75,RU,1547413200,92,69.07,33.42,19.4,2.24
40,Zhigansk,44,RU,1547415119,63,66.77,123.37,-21.23,3.62
41,Mandalgovi,20,MN,1547415121,64,45.76,106.27,0.24,13.8
42,Komsomolskiy,88,RU,1547415122,79,67.55,63.78,3.7,12.8
43,Pangnirtung,90,CA,1547413200,75,66.15,-65.72,-18.41,3.36
44,Nikolskoye,75,RU,1547413200,92,59.7,30.79,26.6,6.71
45,Cidreira,48,BR,1547415126,81,-30.17,-50.22,82.59,11.01
46,Arraial do Cabo,0,BR,1547409600,74,-22.97,-42.02,86.0,14.99
47,Tevaitoa,88,PF,1547415129,100,-16.78,-151.5,82.72,15.48
48,Umm Lajj,48,SA,1547415130,99,25.02,37.27,66.88,15.03
49,Lasa,40,CY,1547413200,87,34.92,32.53,50.0,3.36
50,Denpasar,20,ID,1547413200,94,-8.65,115.22,78.8,5.82
51,Sao Felix do Xingu,68,BR,1547415134,84,-6.64,-51.99,78.99,2.28
52,Touros,40,BR,1547413200,78,-5.2,-35.46,82.4,12.75
53,Khatanga,32,RU,1547415140,70,71.98,102.47,-36.08,5.41
54,Luderitz,20,NA,1547415141,89,-26.65,15.16,63.28,12.91
55,Codrington,40,AU,1547413200,78,-28.95,153.24,75.2,3.51
56,Bluff,0,AU,1547414865,69,-23.58,149.07,72.15,10.56
57,Lincoln,20,GB,1547412600,75,53.23,-0.54,46.4,18.34
58,Redcliffe,75,GB,1547412960,76,51.45,-2.59,48.74,12.75
59,Atuona,24,PF,1547415148,100,-9.8,-139.03,81.1,17.05
60,Faanui,80,PF,1547414917,100,-16.48,-151.75,82.45,15.48
61,Pringsewu,88,ID,1547415152,96,-5.36,104.98,73.0,1.05
62,Hobart,0,AU,1547413200,59,-42.88,147.33,64.4,3.36
63,Saint George,40,GR,1547412600,86,39.45,22.34,33.8,2.73
64,Saint-Philippe,90,CA,1547414160,66,45.36,-73.48,12.2,2.24
65,Guerrero Negro,44,MX,1547414928,77,27.97,-114.04,64.72,3.29
66,Severo-Kurilsk,88,RU,1547414900,100,50.68,156.12,26.52,3.74
67,Cape Town,20,ZA,1547413200,82,-33.93,18.42,60.8,5.82
68,Albany,20,US,1547412840,44,42.65,-73.75,21.2,8.05
69,Qaanaaq,0,GL,1547415161,100,77.48,-69.36,-25.55,9.78
70,Zalesovo,0,RU,1547415163,61,54.0,84.74,-2.74,6.2
71,Tuatapere,88,NZ,1547415164,100,-46.13,167.69,53.07,8.77
72,Kaberamaido,0,UG,1547415165,46,1.76,33.16,70.48,11.68
73,Hokitika,0,NZ,1547415168,100,-42.72,170.96,58.29,2.73
74,Beloha,92,MG,1547415169,95,-25.17,45.06,73.14,2.95
75,Samana,40,EC,1547413200,62,0.12,-76.97,86.0,3.36
76,Arlit,0,NE,1547415172,44,18.74,7.39,55.63,8.21
77,Presidente Epitacio,32,BR,1547415173,76,-21.76,-52.12,85.51,2.28
78,Isangel,44,VU,1547414983,100,-19.55,169.27,78.94,5.64
79,Guasdualito,20,VE,1547413200,49,7.24,-70.73,89.6,3.36
80,Teahupoo,40,PF,1547411400,74,-17.83,-149.27,84.2,17.22
81,Henties Bay,100,NA,1547415179,98,-22.12,14.28,64.36,7.09
82,Mount Isa,0,AU,1547413200,31,-20.73,139.49,78.8,5.82
83,San Angelo,90,US,1547413800,70,31.46,-100.44,42.08,8.05
84,Eyl,68,SO,1547415183,98,7.98,49.82,73.09,14.81
